Name;Platform;Year_of_Release;Genre;Publisher;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating
Dark Souls II;PC;2014;Role-Playing;Namco Bandai Games;0.17;91;36;7.1;2318;From Software;T
Street Fighter IV;PC;N/A;Fighting;Capcom;0.13;91;23;8;352;Capcom;T
Battlefield 2;PC;2005;Shooter;Electronic Arts;0.08;91;55;8.4;837;Digital Illusions;T
Metal Gear Solid V: The Phantom Pain;PC;2015;Action;Konami Digital Entertainment;0.08;91;13;7.7;1963;Kojima Productions;M
Planescape: Torment;PC;1998;Role-Playing;Interplay;0.03;91;22;9.2;813;Black Isle Studios;T
Neverwinter Nights;PC;2002;Role-Playing;Atari;0.03;91;34;8.2;490;BioWare;T
The Longest Journey;PC;1999;Adventure;Empire Interactive;0.02;91;26;8.9;439;Funcom;M
IL-2 Sturmovik;PC;2001;Simulation;Blue Byte;0.01;91;12;8.8;130;1C, 1C Company;T
Tiger Woods PGA Tour 2005;PC;2004;Sports;Electronic Arts;0.01;91;16;4.5;39;Headgate;E
Guild Wars 2;PC;2012;Action;NCSoft;2.31;90;69;7.9;2954;ArenaNet;T
World of Warcraft: Cataclysm;PC;2010;Role-Playing;Activision;2.08;90;53;5.6;953;Blizzard Entertainment;T
Sid Meier's Civilization V;PC;2010;Strategy;Take-Two Interactive;1.68;90;70;7.9;2280;Firaxis Games;E10+
Empire: Total War;PC;2009;Strategy;Sega;1.08;90;62;6.9;2981;Creative Assembly;T
Grand Theft Auto IV;PC;2008;Action;Take-Two Interactive;0.88;90;40;6.6;2299;Rockstar Toronto;M
Total War: Shogun 2;PC;2011;Strategy;Sega;0.6;90;62;8.3;1180;Creative Assembly;T
Deus Ex: Human Revolution;PC;2011;Shooter;Square Enix;0.58;90;52;8.5;3069;Nixxes Software;M
The Sims 2;PC;2004;Simulation;Electronic Arts;0.29;90;61;8.8;676;Maxis;T
Silent Hunter III;PC;2005;Simulation;Ubisoft;0.08;90;23;7.9;95;Ubisoft;T
World of Goo;PC;2008;Puzzle;2D Boy;0.04;90;26;8.5;607;2D Boy;E
NBA 2K13;PC;2012;Sports;Take-Two Interactive;0.03;90;5;6.8;130;Visual Concepts;E
Braid;PC;2009;Platform;Number None;0.03;90;11;8.6;819;Number None Inc., Knockout Games;E10+
Falcon 4.0: Allied Force;PC;2005;Simulation;Graphsim Entertainment;0.02;90;7;8.6;37;Lead Pursuit;T
NBA 2K17;PC;2016;Sports;Take-Two Interactive;0.01;90;6;6.3;52;Visual Concepts;E
Deus Ex;PC;2000;Role-Playing;Eidos Interactive;0.01;90;28;9.3;1069;Ion Storm;M
Battlefield 3;PC;2011;Shooter;Electronic Arts;2.78;89;61;7.5;4926;EA DICE;M
Mass Effect 3;PC;2012;Role-Playing;Electronic Arts;0.97;89;23;5.5;5926;BioWare;M
Borderlands 2;PC;2012;Shooter;Take-Two Interactive;0.93;89;38;8.2;2482;Gearbox Software;M
XCOM: Enemy Unknown;PC;2012;Strategy;Take-Two Interactive;0.71;89;57;8.2;2235;Firaxis Games;M
Mass Effect;PC;2008;Role-Playing;Electronic Arts;0.67;89;45;8.6;2386;BioWare, Demiurge Studios;M
Left 4 Dead 2;PC;2009;Shooter;Valve Software;0.36;89;55;8.5;2530;Valve Software;M
Age of Mythology;PC;2002;Strategy;Microsoft Game Studios;0.09;89;31;8.9;484;Ensemble Studios;T
Dark Souls III;PC;2016;Role-Playing;Namco Bandai Games;0.07;89;56;8.6;1848;From Software;M
DiRT 2;PC;2009;Racing;Codemasters;0.05;89;22;8.2;352;Codemasters;T
Far Cry;PC;2004;Shooter;Ubisoft;0.05;89;72;8.1;724;Crytek;M
Rise of Nations;PC;2003;Strategy;Microsoft Game Studios;0.04;89;30;9;274;Big Huge Games;T
World in Conflict;PC;2007;Strategy;Vivendi Games;0.04;89;44;8.1;301;Massive Entertainment;T
Guild Wars;PC;2005;Role-Playing;NCSoft;0.03;89;53;8.4;455;ArenaNet;T
Battlefield 1942;PC;2002;Shooter;Electronic Arts;0.03;89;27;8.6;327;Digital Illusions;T
Left 4 Dead;PC;2008;Shooter;Electronic Arts;0.02;89;58;9.2;3717;Valve Software;M
Max Payne;PC;2001;Shooter;Take-Two Interactive;0.02;89;32;9.1;1016;Remedy Entertainment;M
Pillars of Eternity;PC;2014;Role-Playing;Paradox Interactive;0.02;89;71;8.3;2191;Obsidian Entertainment;M
Worldwide Soccer Manager 2006;PC;2004;Sports;Sega;0.02;89;20;;;Sports Interactive;E
Diablo III;PC;2012;Role-Playing;Activision;5.14;88;86;4;9629;Blizzard Entertainment;M
Warcraft III: The Frozen Throne;PC;2003;Strategy;Activision;1.54;88;23;9;713;Blizzard Entertainment;T
Far Cry 3;PC;2012;Shooter;Ubisoft;0.96;88;43;8.2;3183;Ubisoft Montreal;M
The Witcher 2: Assassins of Kings;PC;2011;Action;Namco Bandai Games;0.96;88;76;8.5;4378;CD Projekt Red Studio;M
Assassin's Creed: Brotherhood;PC;2011;Action;Ubisoft;0.59;88;24;8.2;1102;Ubisoft Montreal;M
StarCraft II: Legacy of the Void;PC;2015;Strategy;Activision;0.53;88;62;8.3;833;Blizzard Entertainment;T
Battlefield 1;PC;2016;Shooter;Electronic Arts;0.38;88;54;7.6;1137;EA DICE;M
World of Warcraft: Legion;PC;2016;Role-Playing;Activision;0.32;88;62;7.5;535;Blizzard Entertainment;T
Sid Meier's Civilization VI;PC;2016;Strategy;Take-Two Interactive;0.25;88;81;7.3;684;Firaxis Games;E10+
BioShock 2;PC;N/A;Shooter;Take-Two Interactive;0.24;88;36;8;1247;2K Marin;M
XCOM 2;PC;2016;Strategy;Take-Two Interactive;0.23;88;104;7.1;1221;Firaxis Games;T
Diablo II;PC;2000;Role-Playing;Havas Interactive;0.13;88;34;8.8;1056;Blizzard North;M
Medieval II: Total War;PC;2006;Strategy;Sega;0.1;88;39;8.9;648;Creative Assembly;T
Counter-Strike: Source;PC;2004;Shooter;Vivendi Games;0.08;88;9;8.9;9851;Valve Software;M
Microsoft Flight Simulator 2004: A Century of Flight;PC;2003;Simulation;Microsoft Game Studios;0.07;88;22;8.2;49;Microsoft Game Studios;E
StarCraft;PC;1998;Strategy;Activision;0.05;88;15;9.1;813;Blizzard Entertainment;T
Mafia;PC;2002;Action;Take-Two Interactive;0.04;88;27;9.1;863;Illusion Softworks;M
Winning Eleven: Pro Evolution Soccer 2007;PC;2006;Sports;Konami Digital Entertainment;0.01;88;6;;;KCET;E
Diablo II: Lord of Destruction;PC;2001;Role-Playing;Vivendi Games;1.06;87;21;9.1;639;Blizzard North;M
Battlefield: Bad Company 2;PC;2010;Shooter;Electronic Arts;0.72;87;46;8.3;1467;EA DICE;M
World of Warcraft: Warlords of Draenor;PC;2014;Action;Activision Blizzard;0.47;87;49;5.9;1154;Blizzard Entertainment;T
Max Payne 3;PC;2012;Shooter;Take-Two Interactive;0.43;87;30;7.6;2202;Rockstar Studios;M
FIFA 14;PC;2013;Sports;Electronic Arts;0.4;87;6;4.6;441;EA Canada;E
Dead Space 2;PC;2011;Shooter;Electronic Arts;0.32;87;28;8.3;974;Visceral Games;M
Doom 3;PC;2004;Shooter;Activision;0.1;87;83;7.6;896;id Software;M
Burnout Paradise: The Ultimate Box;PC;2009;Racing;Electronic Arts;0.09;87;26;7.5;435;Criterion Games;E10+
Football Manager 2010;PC;2009;Sports;Sega;0.07;87;33;9;262;Sports Interactive;E
Plants vs. Zombies;PC;2009;Strategy;PopCap Games;0.05;87;41;8.9;891;PopCap;E10+
GRID;PC;N/A;Racing;Codemasters;0.04;87;25;7.9;463;Codemasters;E
Company of Heroes: Opposing Fronts;PC;2007;Strategy;THQ;0.04;87;36;8.6;235;Relic;M
Sins of a Solar Empire;PC;2008;Strategy;Pinnacle;0.03;87;52;8.2;275;Ironclad Games;T
Worldwide Soccer Manager 2007;PC;2006;Sports;Sega;0.02;87;17;;;Sports Interactive;E
Divinity: Original Sin;PC;2014;Role-Playing;Focus Home Interactive;0.02;87;59;8.7;2089;Larian Studios;M
Gears of War;PC;2007;Shooter;Microsoft Game Studios;0.02;87;36;7.8;567;Epic Games;M
Colin McRae Rally 04;PC;2004;Racing;Codemasters;0.01;87;6;7.2;44;Codemasters;
The Sims 3;PC;2009;Simulation;Electronic Arts;8.01;86;75;7.6;886;The Sims Studio;T
StarCraft II: Heart of the Swarm;PC;2013;Strategy;Activision;1.67;86;68;7.9;1346;Blizzard Entertainment;T
Football Manager 2013;PC;2012;Sports;Sega;1.15;86;37;6.7;228;Sports Interactive;
Worldwide Soccer Manager 2008;PC;2007;Sports;Russel;1.12;86;15;8;19;Sports Interactive;E
Tomb Raider;PC;1996;Action;Eidos Interactive;1.03;86;18;8.5;3552;Crystal Dynamics, Nixxes Software;M
Call of Duty: Modern Warfare 2;PC;2009;Shooter;Activision;0.88;86;40;4.2;6430;Infinity Ward;M
Crysis 2;PC;2011;Action;Electronic Arts;0.74;86;42;6.8;1594;Crytek;M
Dead Space;PC;2008;Action;Electronic Arts;0.59;86;28;8;1093;EA Redwood Shores;M
Titanfall;PC;2014;Shooter;Electronic Arts;0.56;86;29;6.2;1727;Respawn Entertainment;M
Assassin's Creed II;PC;2010;Action;Ubisoft;0.55;86;22;6.9;1611;Ubisoft Montreal;M
FIFA Soccer 13;PC;2012;Action;Electronic Arts;0.4;86;7;6.6;286;Electronic Arts;E
Need for Speed: Hot Pursuit;PC;2010;Racing;Electronic Arts;0.37;86;14;6.7;556;Criterion Games;E10+
Tomb Raider (2013);PC;N/A;Action;Square Enix;0.35;86;18;8.5;3552;Crystal Dynamics, Nixxes Software;M
The Witcher: Enhanced Edition;PC;2008;Role-Playing;Atari;0.32;86;30;8.5;1660;CD Projekt Red Studio;M
Saints Row IV;PC;2013;Action;Deep Silver;0.19;86;45;7.4;1543;Volition Inc.;M
NBA 2K12;PC;2011;Sports;Take-Two Interactive;0.16;86;5;7.1;66;Visual Concepts;E
DiRT 3;PC;2011;Racing;Codemasters;0.15;86;23;6.9;433;Codemasters;T
Total War: WARHAMMER;PC;2016;Strategy;Sega;0.13;86;77;7.3;556;Creative Assembly;T
Rise of the Tomb Raider;PC;2016;Adventure;Square Enix;0.12;86;45;7.9;915;Crystal Dynamics, Nixxes Software;M
Dishonored 2;PC;2016;Action;Bethesda Softworks;0.12;86;37;6;383;Arkane Studios;M
Rayman Origins;PC;2012;Platform;Ubisoft;0.08;86;11;8.4;337;UBlart Montpellier;E10+
Resident Evil 5;PC;2009;Action;Capcom;0.07;86;30;7.1;597;Capcom;M
Call of Duty 2;PC;2005;Shooter;Activision;0.06;86;64;8.4;626;Infinity Ward;T
Rocket League;PC;2016;Sports;505 Games;0.06;86;20;8.2;580;Psyonix;E
Supreme Commander;PC;2007;Strategy;THQ;0.05;86;44;8.3;263;Gas Powered Games;E10+
IL-2 Sturmovik: 1946;PC;2006;Simulation;Ubisoft;0.04;86;9;8.8;115;1C: Maddox Games;T
DiRT Rally;PC;2016;Racing;Codemasters;0.03;86;33;8.7;288;Codemasters;E
Max Payne 2: The Fall of Max Payne;PC;2003;Shooter;Take-Two Interactive;0.03;86;46;9;802;Remedy Entertainment;M
Final Fantasy XIV: Heavensward;PC;2015;Action;Square Enix;0.02;86;14;7.7;255;Square Enix;T
Warhammer Online: Age of Reckoning;PC;2008;Role-Playing;GOA;0.02;86;54;7.9;374;EA Mythic;T
IL-2 Sturmovik: Forgotten Battles;PC;2003;Simulation;Ubisoft;0.02;86;12;8.6;38;1C, 1C Company;T
LEGO Star Wars II: The Original Trilogy;PC;2006;Action;Activision;0.02;86;20;8.2;64;Traveller's Tales;E10+
Unreal Tournament 2003;PC;2002;Shooter;Atari;0.01;86;27;8.2;98;Digital Extremes;M
Homeworld Remastered Collection;PC;N/A;Strategy;N/A;0.01;86;49;8.2;324;Gearbox Software;E10+
Star Wars: The Old Republic;PC;2011;Role-Playing;Electronic Arts;2.96;85;73;5.9;2748;LucasArts, BioWare;T
The Sims: Hot Date;PC;2001;Simulation;Electronic Arts;1.82;85;17;7.9;70;Maxis;T
Football Manager 2011;PC;2010;Sports;Sega;1.26;85;23;8.4;77;Sports Interactive;E
Dragon Age: Inquisition;PC;2014;Role-Playing;Electronic Arts;0.73;85;45;5.9;3926;BioWare;M
Football Manager 2014;PC;2013;Sports;Sega;0.64;85;41;5.5;275;Sports Interactive;E
Far Cry 2;PC;2008;Action;Ubisoft;0.48;85;34;5.8;1345;Ubisoft Montreal;M
South Park: The Stick of Truth;PC;2014;Role-Playing;Ubisoft;0.19;85;48;8.6;1739;Obsidian Entertainment;M
Cities: Skylines;PC;2015;Simulation;Paradox Interactive;0.14;85;60;8.9;1404;Colossal Order;E
Machinarium;PC;2009;Adventure;Daedalic;0.11;85;47;8.8;526;Amanita Design;
Titanfall 2;PC;2016;Shooter;Electronic Arts;0.08;85;27;8;488;Respawn Entertainment;M
Freelancer;PC;2003;Simulation;Microsoft Game Studios;0.05;85;39;9;185;Digital Anvil;T
Doom;PC;1992;Shooter;id Software;0.03;85;44;8.2;1796;id Software;M
SWAT 4;PC;2005;Shooter;Vivendi Games;0.03;85;49;8.6;224;Irrational Games;M
Indigo Prophecy;PC;2005;Adventure;Atari;0.02;85;41;8.3;375;Quantic Dream;M
The Lord of the Rings Online: Mines of Moria;PC;2008;Role-Playing;Codemasters Online;0.02;85;24;8.2;99;Turbine Inc.;T
Football Manager 2012;PC;2011;Sports;Sega;1.51;84;45;8;172;Sports Interactive;E
Fallout 4;PC;2015;Role-Playing;Bethesda Softworks;1.29;84;38;5.4;7512;Bethesda Game Studios;M
Fallout: New Vegas;PC;2010;Role-Playing;Bethesda Softworks;1.17;84;39;8.6;2754;Obsidian Entertainment;M
Spore;PC;2008;Strategy;Electronic Arts;1.17;84;75;5.3;1711;Maxis;E10+
RIFT;PC;2011;Role-Playing;Unknown;0.67;84;59;7.3;561;Trion Worlds;T
Assassin's Creed IV: Black Flag;PC;2013;Action;Ubisoft;0.64;84;10;7.7;1470;Ubisoft;M
Saints Row: The Third;PC;2011;Action;THQ;0.38;84;22;8.1;1263;Volition Inc.;M
Middle-Earth: Shadow of Mordor;PC;2014;Action;Warner Bros. Interactive Entertainment;0.35;84;17;8;1671;Monolith Productions;M
SimCity 4;PC;2003;Simulation;Electronic Arts;0.29;84;36;8.7;268;Maxis;E
Just Cause 2;PC;2010;Action;Square Enix;0.12;84;33;7.7;838;Avalanche Studios;M
FIFA 17;PC;2016;Sports;Electronic Arts;0.12;84;12;4.2;160;EA Sports, EA Vancouver;E
F1 2010;PC;2010;Racing;Codemasters;0.05;84;15;6.6;99;Codemasters Birmingham;E
Microsoft Train Simulator;PC;2001;Simulation;Microsoft Game Studios;0.05;84;16;8.4;21;Kuju Entertainment;E
Age of Mythology: The Titans;PC;2003;Strategy;Microsoft Game Studios;0.04;84;25;8.7;119;Ensemble Studios;T
The Movies;PC;2005;Simulation;Activision;0.04;84;62;8.3;131;Lionhead Studios;T
Trine 2;PC;2011;Platform;Focus Home Interactive;0.04;84;55;8.4;667;Frozenbyte, Inc.;E10+
Rise of Nations: Rise of Legends;PC;2006;Strategy;Microsoft Game Studios;0.03;84;46;8.5;108;Big Huge Games;T
The Binding of Isaac;PC;2012;Action;Unknown;0.03;84;30;8.3;1010;Edmund McMillen, Florian Himsl;
Battlefield Vietnam;PC;2004;Shooter;Electronic Arts;0.03;84;48;7.5;133;Digital Illusions;T
Guild Wars: Nightfall;PC;2006;Role-Playing;NCSoft;0.03;84;30;8.7;104;ArenaNet;T
DiRT;PC;2007;Racing;Codemasters;0.02;84;20;7.3;91;Codemasters;E
GT Legends;PC;2005;Racing;Atari;0.02;84;21;8.6;44;SimBin;E
The Lord of the Rings: The Battle for Middle-Earth II;PC;2006;Strategy;Electronic Arts;0.02;84;36;7.5;366;EA LA;T
TOCA Race Driver 3;PC;2006;Racing;Codemasters;0.02;84;16;7.8;53;Codemasters;E10+
Crysis: Warhead;PC;2008;Shooter;Electronic Arts;0.02;84;56;7.9;516;Crytek;M
Enemy Territory: Quake Wars;PC;2007;Shooter;Activision;0.02;84;55;8.3;231;Splash Damage;T
Guild Wars: Factions;PC;2006;Role-Playing;NCSoft;0.01;84;39;8.5;128;ArenaNet;T
Riven: The Sequel to Myst;PC;1997;Adventure;Red Orb;2.43;83;12;;;Cyan Worlds;E
Anno 2070;PC;2011;Strategy;Ubisoft;1.43;83;33;7;493;Blue Byte, Related Designs;T
Worldwide Soccer Manager 2009;PC;2008;Simulation;Sega;1.15;83;29;8.1;30;Sports Interactive;E
L.A. Noire: The Complete Edition;PC;2011;Adventure;Take-Two Interactive;0.25;83;28;7.9;903;Rockstar Leeds;M
F1 2011;PC;2011;Racing;Codemasters;0.19;83;10;7.2;83;Codemasters;E
Call of Duty: World at War;PC;2008;Shooter;Activision;0.18;83;36;7.5;721;Treyarch;M
FIFA Soccer 11;PC;2010;Sports;Electronic Arts;0.18;83;16;7.7;102;EA Sports;E
Darksiders;PC;2010;Action;THQ;0.15;83;18;7.8;603;Vigil Games;M
Terraria;PC;2011;Action;Unknown;0.14;83;29;8.5;1613;Re-Logic;T
Project CARS;PC;2015;Racing;Slightly Mad Studios;0.13;83;48;7.1;418;Slightly Mad Studios;E
Tom Clancy's Splinter Cell: Conviction;PC;2010;Action;Ubisoft;0.11;83;20;5.2;672;Ubisoft Montreal;M
Torchlight;PC;2009;Role-Playing;JoWood Productions;0.07;83;57;8;794;Runic Games;T
Fable: The Lost Chapters;PC;2005;Role-Playing;Microsoft Game Studios;0.07;83;54;8.7;489;Lionhead Studios;M
Alan Wake;PC;2012;Action;Nordic Games;0.06;83;30;8;1473;Remedy Entertainment;T
Unreal Tournament III;PC;2007;Shooter;Midway Games;0.06;83;41;8;523;Epic Games;M
Need for Speed: Shift;PC;2009;Racing;Electronic Arts;0.06;83;22;5.8;387;Slightly Mad Studios;E
Hearts of Iron IV;PC;2016;Strategy;Paradox Interactive;0.05;83;36;6.9;306;Paradox Development Studio;
Life is Strange;PC;2016;Adventure;Square Enix;0.04;83;15;8.6;1620;DONTNOD Entertainment;M
Halo: Combat Evolved;PC;2003;Shooter;Microsoft Game Studios;0.04;83;40;7.4;396;Gearbox Software;M
Tomb Raider: Anniversary;PC;2007;Action;Eidos Interactive;0.03;83;26;8.1;242;Nixxes Software;T
Deus Ex: Mankind Divided;PC;2016;Role-Playing;Square Enix;0.03;83;55;6.1;684;Eidos Montreal, Nixxes Software;M
Homeworld 2;PC;2003;Strategy;Vivendi Games;0.03;83;31;8.3;128;Relic;T
GTR Evolution;PC;2008;Racing;Atari;0.03;83;19;8.2;63;SimBin;E
Age of Conan: Rise of the Godslayer;PC;2010;Role-Playing;Funcom;0.03;83;14;8.4;52;Funcom;M
Colin McRae Rally 2005;PC;2004;Racing;Codemasters;0.02;83;11;7.1;50;Codemasters;E
Icewind Dale II;PC;2002;Role-Playing;Interplay;0.01;83;22;8.3;147;Black Isle Studios;T
The Sims: Livin Large;PC;2000;Misc;Electronic Arts;2.99;82;23;6.6;20;Maxis;T
World of Warcraft: Mists of Pandaria;PC;2012;Role-Playing;Activision;1.82;82;42;4.8;1265;Blizzard Entertainment;T
Dragon Age II;PC;2011;Action;Electronic Arts;0.63;82;45;4.5;4533;BioWare;M
Dawn of Discovery;PC;2009;Simulation;Ubisoft;0.38;82;32;8.8;132;Blue Byte, Related Designs;T
Need for Speed: Most Wanted;PC;2005;Racing;Electronic Arts;0.29;82;19;8.5;525;Black Box;T
FIFA 15;PC;2014;Sports;Electronic Arts;0.28;82;9;4.2;383;EA Sports;E
NBA 2K11;PC;2010;Action;Take-Two Interactive;0.19;82;6;8.6;37;Visual Concepts;E
Metro: Last Light;PC;2013;Action;Deep Silver;0.19;82;71;8.6;2654;4A Games;M
Tom Clancy's Splinter Cell: Blacklist;PC;2013;Action;Ubisoft;0.19;82;13;7.4;754;Ubisoft Toronto;M
Bulletstorm;PC;2011;Shooter;Electronic Arts;0.16;82;34;7.7;768;Epic Games, People Can Fly;M
Wildstar;PC;2014;Role-Playing;NCSoft;0.16;82;52;7.4;965;Carbine Studios;T
The Book of Unwritten Tales;PC;2009;Adventure;HMH Interactive;0.1;82;32;8.2;144;KING Art;T
Bejeweled 3;PC;2010;Puzzle;PopCap Games;0.08;82;27;8.1;86;PopCap;E
Need for Speed: Most Wanted;PC;2012;Racing;Electronic Arts;0.08;82;19;8.5;525;Black Box;T
Need for Speed Underground 2;PC;2004;Racing;Electronic Arts;0.07;82;31;8.5;407;EA Canada;T
The Lord of the Rings: The Battle for Middle-Earth;PC;2004;Strategy;Electronic Arts;0.07;82;42;8.6;199;EA LA;T
Pro Evolution Soccer 2015;PC;2014;Sports;Konami Digital Entertainment;0.06;82;8;5.8;173;Konami;
S.T.A.L.K.E.R.: Shadow of Chernobyl;PC;2007;Shooter;THQ;0.06;82;44;8.4;1088;GSC Game World;M
Plants vs. Zombies: Garden Warfare 2;PC;2016;Shooter;Electronic Arts;0.05;82;6;7.5;44;PopCap;E10+
Need for Speed Underground;PC;2003;Racing;Electronic Arts;0.05;82;24;8.3;307;Black Box;E
Hitman: Blood Money;PC;2006;Action;Eidos Interactive;0.03;82;35;8.8;528;Io Interactive;M
Red Faction: Guerrilla;PC;2009;Shooter;THQ;0.03;82;29;7.5;308;Volition Inc., Reactor Zero;M
Syberia;PC;2002;Action;Microids;0.03;82;26;8.5;235;Microids;T
Botanicula;PC;2012;Adventure;Daedalic Entertainment;0.03;82;38;8.3;341;Amanita Design;
Neverwinter Nights 2;PC;2006;Role-Playing;Atari;0.02;82;46;6.5;565;Obsidian Entertainment;T
Tomb Raider: Legend;PC;2006;Action;Eidos Interactive;0.02;82;31;7.9;244;Nixxes Software;T
Neverwinter Nights 2: Mask of the Betrayer;PC;2007;Role-Playing;Atari;0.01;82;25;8.8;182;Obsidian Entertainment;T
Football Manager Live;PC;2009;Sports;Sega;0.01;82;23;3.1;45;Sports Interactive;
Marvel: Ultimate Alliance;PC;2006;Role-Playing;Activision;0.01;82;22;8;52;Raven Software;T
King's Bounty: Armored Princess;PC;2009;Role-Playing;1C Company;0.01;82;25;8.6;158;Katauri Interactive;T
Call of Duty: Black Ops;PC;N/A;Shooter;Activision;1.63;81;29;5.2;1651;Treyarch;M
Battlefield 4;PC;2013;Shooter;Electronic Arts;1.35;81;52;6;3517;EA DICE;M
Napoleon: Total War;PC;2010;Strategy;Sega;0.66;81;56;7.9;515;Creative Assembly;T
The Sims 3: World Adventures;PC;2009;Simulation;Electronic Arts;0.57;81;31;8;72;The Sims Studio;T
Wolfenstein: The New Order;PC;2014;Shooter;Bethesda Softworks;0.45;81;23;8.2;1647;MachineGames;M
Age of Empires III;PC;2005;Strategy;Microsoft Game Studios;0.38;81;52;7.7;519;Ensemble Studios;T
Sid Meier's Civilization: Beyond Earth;PC;2014;Strategy;Take-Two Interactive;0.36;81;78;5.5;1027;Firaxis Games;E10+
Football Manager 2016;PC;2015;Simulation;Sega;0.35;81;34;6.9;97;Sega;E
Kingdoms of Amalur: Reckoning;PC;2012;Role-Playing;Electronic Arts;0.3;81;25;6.6;1097;Big Huge Games;M
RollerCoaster Tycoon 3;PC;2004;Strategy;Atari;0.27;81;39;5;346;Frontier Developments;E
Metro 2033;PC;2010;Shooter;THQ;0.24;81;40;8.1;1472;4A Games;M
FIFA 16;PC;2015;Sports;Electronic Arts;0.2;81;10;4.4;296;EA Sports;E
Borderlands;PC;2009;Shooter;Take-Two Interactive;0.18;81;37;7.8;1363;Gearbox Software;M
Darksiders II;PC;2012;Action;Nordic Games;0.15;81;23;7.8;653;Vigil Games;M
Alien: Isolation;PC;2014;Shooter;Sega;0.14;81;41;8.4;1588;Creative Assembly;M
